kelime,sıklık
tabela,118
malum,118
dediğimiz,118
kanun,118
onlardan,118
zammı,118
tatile,118
döner,118
bugüne,117
müdürü,117
görüntü,117
edin,117
sormak,117
bakanlığının,117
haline,117
yerden,117
halinde,117
tayyip,117
vekili,117
ücretle,116
ettik,116
etmeye,116
gidecek,116
ekonominin,116
hakkını,116
kontrol,116
süreçte,116
değişti,116
hazır,116
katliam,116
geldiğinde,115
telefon,115
altını,115
talebi,115
adli,115
kurumu,115
okula,115
çeşitli,115
gençler,115
meclisin,115
sözleri,115
akpnin,115
beklenen,114
kullandı,114
cezası,114
ister,114
söylüyorum,114
vallah,114
nokta,114
karşılık,114
ağustosta,114
olmasın,113
neye,113
kar,113
arası,113
süreç,113
anne,113
toplantı,113
new,113
gündür,112
rusya,112
teslim,112
yoktur,112
şimşekin,112
erkan,112
mart,112
çağrı,112
meslek,112
güran,112
kardeşim,111
iddiası,111
sorumlu,111
barınma,111
kalacak,111
geçiş,111
verdik,110
buldu,110
olmayacak,110
baktığımızda,110
bankasının,110
üniversite,110
güne,110
sona,109
bazen,109
yönünde,109
olacağını,109
farkı,109
yap,108
huzur,108
iddialar,108
isyan,108
kalem,108
gider,108
basın,108
izmirde,108
sokakta,108
bıraktı,108
dalga,108
tabelam,108
terör,108
ekranlara,108
görüyor,107
göreve,107
yasak,107
itiraz,107
olayı,107
yusuf,107
karşılığı,107
üyesi,107
yerinde,107
dönemi,107
etmiş,107
alma,107
kitap,107
başkent,107
saatler,106
banka,106
açıldı,106
nefes,106
sesini,106
yönetim,106
paketi,106
kuru,106
yayın,106
arkaya,105
yüzünden,105
pahalılığı,105
insanlara,105
gelirli,105
kendine,105
sistemi,105
simit,105
güçlü,105
başlayalım,105
konuşma,104
ayın,104
çıkar,104
yatırım,104
görünüyor,104
kurulu,104
konuştuk,104
eşi,104
kriz,104
geçecek,104
çıkmış,104
kaçak,104
hayvanları,104
kesin,103
emeklilik,103
arda,103
paranın,103
almış,103
sınır,103
seni,103
istiyorlar,103
hakları,103
istediği,103
çağrısı,103
ederken,102
darbe,102
hesabını,102
civarında,102
sürdü,102
gerekçesiyle,102
taraftan,102
verileri,102
oradaki,102
işsizlik,102
geçmişte,102
başlayan,102
değiliz,102
hoş,102
değişim,102
mazot,102
israile,102
helal,101
gizli,101
iddiaları,101
ilçe,101
futbol,101
başlayacak,101
görüntüleri,101
elinde,101
sabit,101
şubat,101
ailesi,101
içi,101
kalın,101
değilim,100
konuşuyor,100
ettiğini,100
ailenin,100
koydu,100
kabine,100
türkiyeyi,100
insanın,100
olun,100
galiba,100
baba,99
işçiler,99
yönetimi,99
yerli,99
ederek,99
hapis,99
denk,99
yaşıyor,99
kent,99
sistem,99
aynen,99
etmeyin,99
gezi,99
zafer,99
artışı,98
sırasında,98
emeklileri,98
bizlere,98
sıkıntı,98
tepkiler,98
hızlıca,98
sonucu,98
ikisi,98
gelince,98
belediyelerin,98
teğmenler,98
kan,97
sesi,97
birileri,97
umut,97
çocuğun,97
fatura,97
çeyrek,97
yolda,97
kesim,97
halkı,97
şehir,97
birisi,97
ayrıca,96
şüpheli,96
eve,96
domates,96
durumunda,96
dönemin,96
denildi,96
spor,96
onunla,96
katıldı,96
evi,96
kimler,96
ibb,96
gerekli,95
dilerim,95
kapsamında,95
maaşları,95
derseniz,95
kaynak,95
faizi,95
çiftçinin,95
portakal,95
toplu,94
dediğim,94
söyleniyor,94
verilecek,94
kiralar,94
parasını,94
düşüyor,94
emeklisi,94
derdi,94
günlerdir,94
bırakın,94
fotoğraf,94
vurdu,94
yemin,94
kendilerine,94
cezaevinde,94
kılıç,94
art,93
sorunun,93
araştırma,93
söylediği,93
arkasında,93
yansıdı,93
çocukların,93
terk,93
sebebi,93
ekonomiyi,93
siyasetin,93
televizyon,93
vereceğiz,93
oran,92
diyordu,92
değişiyor,92
bambaşka,92
yapar,92
verin,92
düşünüyorsunuz,92
liraydı,92
politika,92
cumhurbaşkanının,92
mesele,91
alacağız,91
deniyor,91
olacağı,91
olduğuna,91
hatırlattı,91
gelişme,91
barış,91
beklentisi,91
değildi,91
engel,91
çalışıyorum,91
neyse,91
kahve,91
başkanlık,91
etki,91
musun,90
versin,90
yorum,90
habere,90
gördü,90
milletvekilleri,90
kararını,90
silah,90
seçimi,90
harekete,90
okullar,90
beraberinde,89
amca,89
yola,89
erdoğanla,89
çıkış,89
geçinemiyoruz,89
arkadaşımız,89
lirası,89
gününde,89
memnun,89
cevabını,89
yarısı,89
hükümetin,89
seçimden,89
mitingi,89
kuzey,89
emniyet,89
